epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,486.782,0.36934,0.82409,0.96648,0.8844,0.92257,0.97375,0.92582,0.34637,0.5032,0.79071,0.000786012,0.000786012,0.000786012
43,497.807,0.36309,0.83101,0.96551,0.90108,0.81339,0.94374,0.91573,0.29318,0.66182,0.71981,0.000783013,0.000783013,0.000783013
44,509.304,0.34982,0.84115,0.95087,0.91255,0.89905,0.96378,0.93762,0.31448,0.52481,0.7503,0.000780013,0.000780013,0.000780013
45,521.131,0.33859,0.80148,0.95005,0.88726,0.9012,0.96127,0.927,0.28816,0.4978,0.77305,0.000777013,0.000777013,0.000777013
46,533.263,0.34986,0.78565,0.94812,0.91164,0.92269,0.95974,0.93199,0.28819,0.46827,0.7139,0.000774013,0.000774013,0.000774013
47,545.01,0.34192,0.78242,0.95106,0.88716,0.85837,0.95036,0.93166,0.26322,0.49198,0.6951,0.000771014,0.000771014,0.000771014
48,556.536,0.34903,0.77184,0.95633,0.89184,0.92355,0.97832,0.9678,0.25521,0.40972,0.68085,0.000768014,0.000768014,0.000768014
49,567.753,0.34948,0.7942,0.95582,0.92027,0.87621,0.95641,0.93718,0.27381,0.49121,0.70444,0.000765014,0.000765014,0.000765014
50,579.548,0.34165,0.75268,0.96117,0.86344,0.90624,0.925,0.90317,0.27444,0.58551,0.71204,0.000762015,0.000762015,0.000762015
51,591.445,0.34371,0.75063,0.95777,0.94728,0.88413,0.96303,0.93862,0.26183,0.46121,0.70085,0.000759015,0.000759015,0.000759015
52,602.858,0.34582,0.73623,0.94557,0.88696,0.88418,0.94065,0.91694,0.25905,0.50234,0.7042,0.000756015,0.000756015,0.000756015
53,614.87,0.3443,0.76459,0.95097,0.78264,0.92998,0.90524,0.89575,0.23989,0.54537,0.66819,0.000753016,0.000753016,0.000753016
54,628.109,0.3383,0.75165,0.95149,0.88425,0.91368,0.95912,0.93765,0.25252,0.45228,0.70033,0.000750016,0.000750016,0.000750016
55,641.038,0.33376,0.74402,0.94366,0.83617,0.89201,0.94604,0.92309,0.24847,0.5416,0.67346,0.000747016,0.000747016,0.000747016
56,652.57,0.33454,0.71853,0.95243,0.87374,0.95175,0.95968,0.94933,0.23585,0.43427,0.67709,0.000744016,0.000744016,0.000744016
57,663.99,0.32907,0.70743,0.9459,0.91113,0.90564,0.95753,0.94863,0.23253,0.41784,0.66759,0.000741017,0.000741017,0.000741017
58,675.459,0.32906,0.71576,0.94014,0.89012,0.90072,0.96001,0.92726,0.28842,0.49279,0.7354,0.000738017,0.000738017,0.000738017
59,687.153,0.33419,0.71351,0.95454,0.88545,0.91896,0.9553,0.94148,0.23656,0.44939,0.6887,0.000735017,0.000735017,0.000735017
60,698.933,0.32567,0.68391,0.94505,0.87885,0.9005,0.95465,0.94386,0.23135,0.49464,0.67716,0.000732018,0.000732018,0.000732018
61,712.031,0.34288,0.71004,0.94714,0.8984,0.86073,0.95318,0.93165,0.21992,0.61197,0.64977,0.000729018,0.000729018,0.000729018
62,724.162,0.33047,0.73309,0.94341,0.81444,0.94211,0.94065,0.91778,0.24836,0.54026,0.68528,0.000726018,0.000726018,0.000726018
63,736.264,0.31752,0.71757,0.93037,0.92343,0.8909,0.9631,0.93738,0.25052,0.48514,0.69717,0.000723019,0.000723019,0.000723019
64,748.248,0.33883,0.71163,0.94916,0.9293,0.88312,0.93876,0.92854,0.23267,0.4418,0.65762,0.000720019,0.000720019,0.000720019
65,760,0.3162,0.67276,0.93413,0.82795,0.87904,0.93832,0.93369,0.22071,0.47833,0.65395,0.000717019,0.000717019,0.000717019
66,771.926,0.3237,0.69962,0.94668,0.91044,0.92831,0.95771,0.94759,0.2318,0.40851,0.66074,0.000714019,0.000714019,0.000714019
